"Agility","Speed to market. Launching resources in minutes instead of months (Human speed)."
"Elasticity","Scaling resources UP and DOWN automatically based on demand (Machine speed)."
"Scalability","Ability of the system to handle growth (Scale Up/Vertical or Scale Out/Horizontal)."
"High Availability (HA)","System is 'Up' most of the time (e.g. 99.99%). Tolerates downtime."
"Fault Tolerance","System NEVER stops. Zero downtime. More expensive than HA."
"CAPEX (Capital Expenditure)","Upfront cost for physical assets. Depreciation. High Risk."
"OPEX (Operational Expenditure)","Pay-as-you-go. Tax deductible. Low Risk."
"Security OF the Cloud (AWS)","Physical, Hardware, Hypervisor, Managed Services OS."
"Security IN the Cloud (Customer)","Data (Encryption), IAM, Config, OS Patching (EC2)."
"Well-Architected (6 Pillars)","Operational Excellence, Security, Reliability, Performance, Cost, Sustainability."
"Migration (7 Rs)","Rehost (Lift & Shift), Replatform (Tinker), Refactor (Cloud Native), Repurchase, Relocate, Retain, Retire."
